Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2010,2010,g/pc/d,1.89,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2015,2015,g/pc/d,1.54,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2010,2010,g/pc/d,1.88,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2015,2015,g/pc/d,1.82,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2733,Pigmeat,2015,2015,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2010,2010,g/pc/d,0.79,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2015,2015,g/pc/d,0.69,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2010,2010,g/pc/d,0.16,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2015,2015,g/pc/d,0.16,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2010,2010,g/pc/d,0.78,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2015,2015,g/pc/d,0.69,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2010,2010,g/pc/d,0.03,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2015,2015,g/pc/d,0.03,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2743,Cream,2010,2010,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2743,Cream,2015,2015,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2737,"Fats, Animals, Raw",2010,2010,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2737,"Fats, Animals, Raw",2015,2015,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2744,Eggs,2010,2010,g/pc/d,0.25,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2744,Eggs,2015,2015,g/pc/d,0.52,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2848,Milk - Excluding Butter,2010,2010,g/pc/d,5.98,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2848,Milk - Excluding Butter,2015,2015,g/pc/d,6.54,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2761,Freshwater Fish,2010,2010,g/pc/d,0.03,E,Estimated value
FBS,Food Balances (2010-),4,Afghanistan,674,Protein supply quantity (g/capita/day),F2761,Freshwater Fish,2015,2015,g/pc/d,0.06,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2010,2010,g/pc/d,6.22,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2015,2015,g/pc/d,5.75,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2010,2010,g/pc/d,2.72,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2015,2015,g/pc/d,3.41,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2733,Pigmeat,2010,2010,g/pc/d,2.58,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2733,Pigmeat,2015,2015,g/pc/d,1.88,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2010,2010,g/pc/d,5.81,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2015,2015,g/pc/d,4.41,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2010,2010,g/pc/d,0.02,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2010,2010,g/pc/d,2.16,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2015,2015,g/pc/d,2.26,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2010,2010,g/pc/d,0.03,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2015,2015,g/pc/d,0.05,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2743,Cream,2010,2010,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2743,Cream,2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2737,"Fats, Animals, Raw",2010,2010,g/pc/d,0.23,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2737,"Fats, Animals, Raw",2015,2015,g/pc/d,0.11,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2781,"Fish, Body Oil",2010,2010,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2781,"Fish, Body Oil",2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2782,"Fish, Liver Oil",2010,2010,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2782,"Fish, Liver Oil",2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2744,Eggs,2010,2010,g/pc/d,2.33,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2744,Eggs,2015,2015,g/pc/d,4.4,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2848,Milk - Excluding Butter,2010,2010,g/pc/d,30.48,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2848,Milk - Excluding Butter,2015,2015,g/pc/d,33.88,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2761,Freshwater Fish,2010,2010,g/pc/d,0.25,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2761,Freshwater Fish,2015,2015,g/pc/d,0.21,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2762,Demersal Fish,2010,2010,g/pc/d,0.19,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2762,Demersal Fish,2015,2015,g/pc/d,0.41,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2763,Pelagic Fish,2010,2010,g/pc/d,0.96,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2763,Pelagic Fish,2015,2015,g/pc/d,1.1,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2764,"Marine Fish, Other",2010,2010,g/pc/d,0.14,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2764,"Marine Fish, Other",2015,2015,g/pc/d,0.11,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2765,Crustaceans,2010,2010,g/pc/d,0.05,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2765,Crustaceans,2015,2015,g/pc/d,0.28,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2766,Cephalopods,2010,2010,g/pc/d,0.15,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2766,Cephalopods,2015,2015,g/pc/d,0.23,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2767,"Molluscs, Other",2010,2010,g/pc/d,0.03,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2767,"Molluscs, Other",2015,2015,g/pc/d,0.02,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2769,"Aquatic Animals, Others",2010,2010,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),8,Albania,674,Protein supply quantity (g/capita/day),F2769,"Aquatic Animals, Others",2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2010,2010,g/pc/d,1.91,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2731,Bovine Meat,2015,2015,g/pc/d,2.26,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2010,2010,g/pc/d,2.71,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2732,Mutton & Goat Meat,2015,2015,g/pc/d,2.88,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2733,Pigmeat,2010,2010,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2733,Pigmeat,2015,2015,g/pc/d,0,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2010,2010,g/pc/d,2.25,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2734,Poultry Meat,2015,2015,g/pc/d,2.43,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2010,2010,g/pc/d,0.15,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2735,"Meat, Other",2015,2015,g/pc/d,0.16,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2010,2010,g/pc/d,0.56,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2736,"Offals, Edible",2015,2015,g/pc/d,0.68,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2010,2010,g/pc/d,0.01,E,Estimated value
FBS,Food Balances (2010-),12,Algeria,674,Protein supply quantity (g/capita/day),F2740,"Butter, Ghee",2015,2015,g/pc/d,0.01,E,Estimated value
